1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Country,WHO_REGION
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286911.3119,36859.74153,67768.17303,315111.9029,30566.47291,21717.06703,36981.9609,138097.6051,55021.90702,24131.18517,27507.163,262453.7026,98588.59188,40405.04892,58059.57874,18340.04775,272.3878352,962.6368757,3645.657431,2890.443402,2945.541645,2182.730323,6706.779636,4578.663485,Azerbaijan,EUR
298522.641,186947.7056,225876.9464,130430.076,163138.7862,177623.1111,106521.1875,147772.1306,124330.2229,64846.02246,50203.91431,99874.31343,105984.0143,51198.45451,65655.5421,71744.88068,23496.11316,17100.58607,19167.07101,85046.20735,96615.0013,7882.143354,710.3150536,3792.166876,5174.872335,7180.051908,2119.339117,5393.676162,6692.548416,3570.121484,3541.4596,4740.670084,1422.022334,1402.863349,Burundi,AFR
NA,NA,NA,NA,NA,NA,NA,238080,405220,NA,36080,47825,36865,56730,53250,36105,19345,0,NA,NA,415,NA,220,305,130,75,320,490,165,200,2880,545,215,350,Belgium,EUR
253304.5978,216201.8303,214904.3981,247046.2611,243909.2589,136821.2113,248692.8663,104410.7919,66320.5639,69284.97441,98160.45032,60340.12086,74801.25965,143091.7676,194426.4651,50858.34823,191146.0243,42497.46133,49315.66143,77087.77286,106399.9729,33308.76385,19678.00945,3961.634257,10272.42732,4672.053892,11069.05946,21506.57312,24268.31545,19152.27011,17824.88454,5293.205899,13419.31845,18301.18278,Benin,AFR
319388.5829,386185.3308,394353.9558,565873.8698,322178.7592,217374.8367,551141.8938,153046.1134,139873.6763,180185.8183,126923.5225,428786.1076,266293.8799,93145.97796,117810.2709,344224.6905,85734.84714,257365.6312,136042.3071,123872.0358,96960.89104,10305.88037,55082.04114,32984.7841,9447.721376,15432.88771,15308.91526,7710.746201,124488.483,67153.68934,41101.98513,364408.7725,46679.8032,41103.30742,Burkina Faso,AFR
2681622.031,4726330.49,2804336.176,3201596.161,3198107.048,3801667.229,3659258.373,3150759.49,2337678.578,1003114.78,2220469.611,1661625.446,1505353.132,2322429.645,1502627.8,1406593.302,2488725.227,1841199.153,1594974.428,1445643.483,1277355.752,1131177.57,1176526.547,2248348.02,2224598.929,1637624.552,141465.8261,418264.238,349190.5537,345673.4952,491111.5807,282745.7466,221627.9116,183193.7319,Bangladesh,SEAR
95036.48497,78022.5657,67435.11076,72899.37484,70201.99956,71610.56981,70770.50824,70362.86414,69879.84226,69349.47951,69580.28949,149944.4964,27442.917,75906.23104,61219.27429,67614.87515,63701.08684,64393.33599,62347.09075,64682.63667,62327.04201,63091.26159,60561.42038,61134.98619,59942.37304,59787.66964,59135.57646,58764.58712,59279.86266,155690.873,12376.78361,10657.34364,10044.28081,9573.91102,Bulgaria,EUR
1645,5735,2190,5670,9550,485,110,25,905,295,35,60,10,0,15,370,20,20,190,30,25,40,60,55,20,15,35,10,15,0,0,0,0,230,Bahrain,EMR
225,250,14340,180,130,425,210,110,295,360,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bahamas, The",AMR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17944.74639,16960.38472,26229.79571,110659.2684,23844.94103,19964.05469,33305.40167,21794.10798,15399.8602,7836.966149,7265.615074,4535.661673,3323.572513,3283.222968,2983.128785,2685.224755,13771.78454,5020.13393,3704.414698,4376.983999,2787.545308,6900.251328,6597.293015,6434.704796,Bosnia and Herzegovina,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,1120,6755,11620,19370,4100,7580,1975,675,2585,765,105,225,70,105,10,5,745,5,0,0,5,250,50,80,320,Belarus,EUR
930,30,55,20,35,620,1120,370,10,125,35,55,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belize,AMR
38270,3600,10170,6350,1085,1730,4935,8965,3345,4100,10540,24685,16955,7205,380,35,35,5020,7205,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivia,AMR
306405,196850,291295,404375,379965,645630,330295,130895,114265,307175,212685,39670,30185,175,3965,2900,261420,13905,4540,180,5,5,10,0,30,285,0,0,0,340,215,10,1055,3665,Brazil,AMR
205,30,30,25,35,10,10,5,10,255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbados,AMR
3875,1215,2790,2705,3085,2200,315,140,195,60,NA,255,250,NA,NA,NA,65,60,115,210,55,NA,120,80,45,NA,NA,15,10,0,20,5,0,5,Brunei,WPR
14573.5189,24661.86666,17930.03432,17483.01002,10854.21097,12528.64339,8976.875443,5499.890643,7341.105417,2793.95645,5824.978345,2219.277381,6681.449807,9044.470536,2627.138577,575.9031506,2337.278281,1886.042145,19596.2872,5585.661278,10068.6464,1774.180819,965.9775505,822.7031662,741.8037252,371.5143354,11,93.74439872,137.9359071,300.2947506,258.9408336,161.1337167,125.3928429,101.5341506,Bhutan,SEAR
21121.36574,18249.19328,78181.6078,46197.00229,22349.56832,14102.87847,6972.876495,8496.200769,38767.71955,18253.98997,10692.05904,8829.384566,57161.0776,30271.34617,12576.46066,12409.05321,52106.73535,7225.170427,3622.898748,21698.24933,8070.500021,5131.796804,4150.790514,3392.302198,3022.861003,908.3779684,1423.065475,1750.710178,2623.778425,1866.700721,2135.203726,2801.733434,1798.193403,473.2286141,Botswana,AFR
161949.3449,98690.22486,62257.47226,286409.6126,94251.11791,69786.37702,82798.84153,73216.51289,21298.89268,50493.1538,156126.5439,116527.1836,66863.92122,67323.30722,39663.7911,20224.55649,16198.69761,14896.77959,26383.30167,132805.6112,109237.6772,45033.16919,31501.69625,47810.30233,25598.80383,2110.772734,3935.660863,6205.533906,1447.067035,4912.675699,26169.08964,6948.766233,27494.70701,8653.384365,Central African Republic,AFR
11535,5320,4670,20390,14080,74705,11925,3045,55725,5165,30890,13710,1015,2615,11805,1635,2895,60,145,1030,170,30,75,35,30,65,505,310,70,495,3795,50,410,2090,Canada,AMR
NA,NA,NA,NA,NA,NA,37000,38000,13500,9950,13500,21500,15000,7000,7000,10000,32000,10000,4000,NA,3500,NA,2870,195,300,NA,5075,10110,4790,385,3105,305,875,115,Switzerland,EUR
32635,47190,33760,23925,85505,62815,13115,225395,65040,9790,10490,5,5,0,0,0,290,30,155,0,0,0,5,0,0,0,0,0,5,0,30,0,0,0,Chile,AMR
24487725.81,21780029.48,19040006.8,15002498.98,18735930.05,10378563.12,6268857.279,5014562.19,4417544.796,4248239.067,5593802.828,6463964.188,5905713.225,4573463.454,3515951.364,3616208.385,3971349.689,3243358.02,3296761.002,3577421.621,3888390.395,2924462.641,3101818.75,3109486.848,3017016.043,2439224.528,2606818.147,3201855.061,2210941.033,1166902.093,862500.4515,313907.062,560946.277,1198317.85,China,WPR
332904.4581,320131.8389,176297.9101,135003.057,182138.9453,527946.3746,724479.1127,356857.7848,380604.3247,362791.3023,214668.6586,301470.3212,172720.0828,202873.9581,719744.1996,428497.1771,217397.1138,249748.9472,130063.5874,123476.5942,123094.9516,124709.9258,107427.2806,77483.8307,32907.9498,2153.728113,8549.971277,14072.97167,6948.081808,16613.66373,28941.27338,8783.436318,12601.1637,17652.07065,Cote d'Ivoire,AFR
NA,495062.3806,725814.9558,453593.1981,567698.9522,376406.9352,211167.9305,272332.9429,285210.6384,249861.6099,182569.4142,324336.5766,163987.8586,69255.78169,52932.49768,137410.131,107970.3588,131617.7529,137045.37,174296.1045,280715.9449,8603.27606,5716.676877,13567.37825,19368.95587,18552.21201,10273.13969,7353.903086,12933.54528,5592.765528,13278.51943,16838.03471,7479.869976,15650.49765,Cameroon,AFR
175123.4393,521616.2994,880827.3863,957694.057,1173407.172,1314243.723,1281676.261,1221171.248,1154972.5,994273.2899,1033928.817,872499.8103,823912.5548,960596.5695,959970.6972,1064084.692,1069938.405,1272219.527,1361696.599,1244073.351,1206534.011,1610677.501,1110479.487,1701897.692,1205323.894,526633.0049,349540.1087,223492.189,186156.8884,185042.2645,1205207.247,399352.8525,370443.4017,152952.7683,"Congo, Democratic Republic of the",AFR
51445.20695,133484.0729,172174.7002,193264.9663,90680.47642,69614.85373,32023.25973,18153.75252,13573.85833,27966.71942,38716.84538,44010.15256,24151.17809,16892.27171,25205.47543,38156.87412,28682.73562,20730.17296,18459.75025,23254.5226,27945.166,33542.76071,40326.20815,40421.48824,3081.074512,5746.960002,7453.065253,1078.361563,2901.217045,3893.275668,1684.269745,5758.481063,4658.765538,1640.802906,"Congo, Republic of the",AFR
77.27903226,142.1694535,135.9555485,132.1395496,124.6130365,120.9856248,112.2336794,102.6365113,691,432.6911175,340.5308413,277.4426852,227.9440765,201.2075574,172.60914,158.6423316,194,128.8107723,0.82451492,2,2.415543329,2.846471929,17,3.06274991,3.151060246,6,1,0.155512157,0.477208424,0.517264092,0.605739118,0.709863797,0.76827016,0.81825097,Cook Islands,WPR
98060,46365,65495,59245,27860,25900,103100,74005,62990,62600,51955,39880,45525,2625,2050,800,335,305,220,5,15,695,0,0,0,0,0,0,0,0,30,5,5,0,Colombia,AMR
0,0,0,0,0,0,0,0,850,11640,0,0,0,10,0,0,0,0,0,NA,NA,0,0,0,4560,425,0,0,5,0,15,5,0,0,Comoros,AFR
4270.783155,26882.91719,29429.06099,2652.058917,5604.522787,7663.639183,9453.309238,1350.277607,836.6457659,794.9985932,907.5831959,769.9682023,629.5524226,968.0470397,832.957113,696.6788545,22782.00626,6000.157601,1237.260073,766.2697128,593.8033779,520.6368347,476.4986174,442.7052632,413.7760134,153.512421,244.4624092,282.8713012,290.1156869,134.8619253,95.09691144,227.6079199,227.7037443,2.187183117,Cabo Verde,AFR
850,835,195,55,5,22670,20020,1790,165,380,31480,11805,1365,0,175,120,130,135,115,0,0,0,5,0,5,NA,0,0,0,0,0,0,0,5,Costa Rica,AMR
91935,117040,16435,16575,14370,16560,4290,605,60,60,85,60,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cuba,AMR
15,135,915,15,5,5,0,0,0,20,5,100,0,0,0,275,5,5,0,0,NA,0,0,0,5,0,0,5,0,90,0,5,450,50,Cyprus,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,12100,4195,2080,70,45,25,50,70,95,10,45,30,20,150,85,0,35,10,10,25,0,85,110,75,1110,Czech Republic,EUR
26450,10145,48990,58795,2840,995,945,85,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30120,23285,3895,605,3890,11535,2835,4585,2870,3900,8035,830,8855,2215,Germany,EUR
NA,2612.934463,7594.757765,81761.91019,8700.69593,12765.18408,7096.218129,24074.43482,25797.02932,8602.928708,5213.362868,8660.828767,6445.600393,10990.80997,5760.522336,20749.99688,18129.89092,13904.28107,19255.32817,12543.26955,8125.511134,6011.587004,1439.332276,888.0223382,12426.4343,2264.192787,3061.164453,7012.320361,1607.859099,2063.11811,3299.393497,6589.209361,1616.425783,546.3333848,Djibouti,EMR
135,10,5,940,320,225,410,50,45,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dominica,AMR
178255,78280,166210,105940,65935,117450,31340,3090,2025,900,810,645,575,180,100,595,305,NA,NA,70,55,160,0,0,10,135,10,70,30,25,420,10,85,135,Denmark,EUR
17050,18355,14800,22145,22085,2505,2495,3460,7525,17385,37560,38250,23185,15,0,0,5,70,1370,1270,565,0,0,0,0,0,0,0,0,0,10,0,0,0,Dominican Republic,AMR
506488.0287,974717.4078,992725.9982,1008228.868,778669.9219,488846.8651,364393.8164,298063.805,278341.8187,243440.64,257541.628,290133.9954,252633.6741,253459.7105,271380.7301,406570.9706,160548.2569,143966.9403,128002.7615,119951.7489,115906.1503,124923.5949,220102.8422,3289,2630.56923,3357.07531,4100.293662,5092.496344,7330.084804,9580.5026,12015.78416,8188.596789,9256.886892,5892.271116,Algeria,AFR
23390,8235,12780,34895,5915,4195,7685,40020,18245,8230,7925,21780,18135,18340,4595,210,0,0,0,0,10,0,0,0,0,0,0,5,0,0,1315,360,0,0,Ecuador,AMR
552853.7885,932282.2437,429595.9086,1805551.434,1841639.339,596940.0593,595191.9717,1243051.433,1333533.297,469861.0187,414525.3546,1636556.711,986081.0281,546337.3092,590558.0589,1545510.471,1513377.584,1602044.478,642205.2341,838732.2372,705121.1891,316260.8775,72686.64351,52267.20173,41580.87111,198664.1064,540459.2832,286522.5325,220935.1752,21874.25761,19608.27568,37205.67456,82868.01293,193184.6903,Egypt,EMR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75216.86418,32614.95733,76898.42636,106071.8601,46341.54418,42566.58109,116343.4379,30797.34808,68086.11611,50402.53288,4103.470431,4113.456212,17086.36904,7719.365005,4016.433076,10594.07783,6788.701734,7397.059553,25081.52089,9081.243127,16593.61592,Eritrea,AFR
733445,797810,1521750,194570,403315,1100545,175730,113505,164540,108250,122225,122300,59925,33980,44245,24820,9210,2230,1230,760,NA,335,1280,130,110,1810,1335,1485,205,1510,19010,6020,655,770,Spain,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,165,645,355,1560,1150,85,95,90,85,60,45,0,0,0,0,10,135,5,0,0,0,35,20,10,0,Estonia,EUR
31591.01685,70722.25984,111026.3302,138966.977,514864.6826,572981.7825,629174.3795,685783.0547,729043.6433,750303.5694,797815.6852,858074.0282,898729.1123,893282.4981,915387.0581,917127.879,926436.2877,953138.6939,1002295.429,1041920.497,257908.4937,321853.0204,332798.4878,273695.1665,191223.3094,221444.2809,37047.81578,57896.44617,81570.28888,80840.84445,15957.47449,235900.2435,314386.282,868044.6593,Ethiopia,AFR
19065,27010,23755,3645,3070,3705,3175,645,5160,15,40,25,0,5,30,0,0,5,NA,NA,5,0,0,0,5,0,0,25,10,25,135,0,10,0,Finland,EUR
23495.0913,21108.94812,8028.353126,19352.14633,4512.199568,9090.687539,25881.98211,14551.36305,2779.91556,1726.562824,3969.883593,26401.31084,10743.20194,1823.025926,10719.79623,1896.02691,21375.8327,445.824843,3684.879103,7151.736169,1840.150559,7199.319233,7210.513604,1609.070067,2548.104382,3178.625213,412.8015178,240.5119379,207.4040308,150.5149797,502.8999321,135.5406372,115.789326,104.2506784,Fiji,WPR
5660,4060,4350,4890,1995,4655,NA,NA,NA,NA,784245,547740,386160,220025,271195,330000,4.00E+05,NA,NA,50000,NA,25925,NA,22240,180,200,195,3020,7705,25240,74745,0,1360,1335,France,EUR
NA,NA,NA,NA,NA,NA,NA,514.896659,502.3630059,573.3376178,666.0286021,741.180032,775.9555116,1095.729826,861.841883,739.5183374,682.984579,610.9223734,661.3929607,619.0902502,569.2638306,506.2238606,461.8901738,429.0937074,382.489371,364.639083,332.962017,317.7047808,300.6611004,297.6759774,154.400165,157.5905219,159.7398556,111.296246,"Micronesia, Federated States of",WPR
18491.07632,14173.93231,33475.10054,56373.92278,39040.59506,53467.62915,18549.58182,7589.229255,13095.00493,7057.914337,8357.760277,9377.347422,7880.053661,9873.871989,11855.90579,4003.623778,6410.478686,8895.021247,11324.32791,3760.729009,8189.224067,4020.531802,6703.710026,3153.939138,296.4585167,1134.348289,1254.463488,393.0097867,861.4088837,1175.897955,1262.148529,4631.273842,2083.033551,2107.933385,Gabon,AFR
308895,528210,574740,338160,523870,451070,224250,441295,150800,141140,58635,61585,60090,117625,45085,34330,24220,370,NA,520,365,1570,2300,945,395,3820,5110,7225,6060,2215,5560,10460,9595,665,United Kingdom,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.5101121,6847,1356,1613.584216,2152.4303,2629.985764,2941.128563,3081.759583,2977.832777,2961.23829,3314.400901,3657.755035,17289.01177,18967.57178,246.2313046,255.5648037,270.1701576,39.24108548,43.80184768,51.17626141,29.17101622,76.19990076,121.6978887,Georgia,EUR
357816.5895,766444.6858,344349.7152,365120.9448,595908.8618,163000.4735,224197.1459,371840.5964,195685.8228,292123.7851,171457.5086,373100.5954,313674.5887,314508.1274,365210.5042,310183.2892,336810.1328,218391.9773,153753.9978,207844.1346,136644.0693,114954.4648,1939,7545.626458,13899.04038,16888.42884,6277.971061,11164.51549,12447.97411,15595.20905,6726.177501,16348.41804,13334.74746,124,Ghana,AFR
326330.7397,379066.7066,210801.9781,111452.5781,78642.70666,69007.00519,178902.8761,93167.13175,102198.4996,170461.9695,160122.329,61200.76599,124232.9163,69775.84565,41493.92328,292598.1549,241834.2825,218211.7847,453933.8614,270643.8796,182332.7144,80155.50608,62700.29564,1324.54516,9663.824691,14861.87128,3275.857977,11185.19206,18988.36611,3693.205754,10416.25105,14213.52713,3359.714117,13492.883,Guinea,AFR
4904.501759,37150.23397,25311.05633,18063.03092,31731.7674,22633.30102,16652.24665,14635.53127,13128.15023,12269.37333,5009.353184,6727.103861,16941.96481,7414.445461,4104.255622,2120.350663,9834.903358,10457.54958,15679.56056,8199.458783,4201.979645,2566.21997,2935.818154,76.36691054,460.906801,803.3754156,1078.051164,479.7185814,777.4814681,1050.93095,1245.945457,342.5110544,490.5202502,496.3516241,"Gambia, The",AFR
58744.43173,42664.20971,93932.11509,13098.97396,35836.47831,64339.64897,8884.887255,30020.52612,7234.230559,8226.818557,78073.99776,23090.2179,47711.27697,12960.67163,14924.11601,6706.507475,13447.59232,18595.10245,13488.36164,16945.36107,6879.535886,8644.480287,32132.69007,28354.70616,6342.031987,3592.683857,167.7089114,1361.816023,2208.187208,1114.463568,2083.414482,2103.705244,672.9991671,1544.037663,Guinea-Bissau,AFR
NA,NA,NA,NA,1854.137854,4163.338394,60723.88193,21067.48232,7047.390015,2923.828462,2009.154567,2213.960589,2082.248257,2247.99348,1891.755032,1695.357453,1600.237699,2530.112291,4829.648906,6896.50875,7050.253701,4161.724967,3436.044593,3238.262445,5840.878219,1776.517602,2499.437017,3750.735716,3641.594922,570.5045192,1765.069572,18252.38442,6912.056681,10239.92645,Equatorial Guinea,AFR
6945,17085,118615,6000,7420,5250,9455,25500,2670,1225,6855,17240,2515,815,560,30410,680,330,345,280,60,25,NA,5,610,NA,10,5,10,745,200,15,15,5,Greece,EUR
45,8565,1340,55,35,100,30,20,10,30,10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grenada,AMR
17360,19960,13810,15360,11360,8250,2000,910,12065,44010,1045,485,85,1020,115,5,40,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guatemala,AMR
35,205,100,1470,435,75,110,4585,55,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guyana,AMR
29285,12230,5840,25140,32380,3015,7185,5775,31765,41800,475,290,65,15,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honduras,AMR
NA,NA,NA,NA,NA,NA,NA,NA,NA,595,585,800,435,690,3485,595,1200,3240,155,45,40,30,95,270,10,5,0,255,10,35,60,10,0,0,Croatia,EUR
12510,5320,4345,8405,10555,1345,15650,1175,2900,7070,NA,NA,NA,NA,NA,5,0,15,0,4960,795,0,0,0,0,0,0,0,0,0,0,0,0,0,Haiti,AMR
52865,12605,620,490,100,85,150,5515,NA,145,80,70,165,55,20,60,120,115,5,5,100,0,0,0,10,5,0,0,5,0,25,10,5,0,Hungary,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,954494.3951,1142424.549,3541637.809,2664468.194,2175362.44,1564896.519,1439603.62,2278991.83,2286781.781,3249096.54,2128128.382,1882051.806,1406426.577,1396487.299,1725981.809,2288401.731,2416784.636,926443.8801,894905.696,898440.5703,1393728.583,957592.3845,707459.4548,484994.3673,457215.8732,Indonesia,SEAR
30320925.9,22096168.63,19811458.51,28593450.23,24276849.97,23325720.58,38652116.29,24163152.42,24858632.76,13765187.12,12253983.64,11270920.05,8437776.06,8082241.787,6410929.054,7515525.292,9564357.696,6584527.486,4896436.075,6524765.66,8308917.888,7174026.553,7719582.017,8178048.014,6717461.011,9674101.356,7117522.101,7116230.982,8603033.788,5665071.751,4966973.053,3306529.106,2365576.766,3516792.32,India,SEAR
5375,9485,30900,28625,49515,2255,1005,4680,6240,2780,675,895,21640,6165,1175,1140,925,1020,735,NA,1205,1215,2920,1670,475,435,320,285,820,2215,1425,535,0,165,Ireland,EUR
808320.3842,1114465.267,981747.6524,751681.0243,471050.4341,356160.3855,438150.5078,266569.4463,151180.0581,124911.381,136502.0601,114937.3696,104953.5496,35575.30711,17337.13242,50943.90524,87378.65953,67965.28228,92134.98599,314619.7891,217963.1365,214524.1279,264526.2603,783.5071145,1379.02749,3356.188611,3948.153404,4178.287227,5897.181186,10684.76125,6568.108822,8078.2018,7023.791491,5597.394855,Iran,EMR
868241.7064,428549.318,510517.0408,511938.7806,298586.1959,154737.9816,116876.5207,131929.5597,154564.0181,62426.25496,151230.8596,271472.0159,220182.7996,148037.4741,107718.9469,13763.65846,16943.79166,91742.44369,130552.6806,63516.34784,64207.36803,99457.48274,43790.78575,120703.0593,11899.2025,10147.7617,7206.6572,54783.60749,54517.30741,7072.88001,4613.404789,17229.59791,10170.99193,2922.943627,Iraq,EMR
120,70,195,810,1870,660,70,55,115,70,50,40,40,35,10,5,5,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,Iceland,EUR
1140,39320,645,685,15025,9755,2190,970,145,1150,4955,330,705,7775,110,95,60,40,70,180,95,10,620,580,10,45,2695,4655,25,115,350,1055,250,30,Israel,EUR
356195,92115,131855,385745,375200,106530,103135,460940,146070,26115,117290,325065,84450,30790,185655,162980,206270,20360,14540,7285,NA,46925,54910,2995,675,2195,1605,8085,1755,1860,25945,1880,0,0,Italy,EUR
26330,14075,5820,1180,335,150,185,150,28630,18255,1540,0,0,0,75,20,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,Jamaica,AMR
1174,1594,2015.771668,4956.121352,6347.033843,7121.779608,12700.81306,37101.68588,38520.26368,34191.50476,29752.0234,31010.38289,45268.29902,39967.21348,34238.10225,31024.80153,49425.63688,428,218.6272726,118.273567,127.6973551,137.1346473,147.4703621,149.9432909,157.4698623,163.2468672,166.3047563,171.9745724,177.4253806,177.694386,178.1540887,180.2050398,150.8804267,20,Jordan,EMR
107355,33580,36405,61340,14050,31615,29360,15545,8765,16295,27260,NA,10010,NA,NA,8200,NA,4495,NA,112485,112760,169060,41430,43760,NA,2600,NA,55075,3705,2250,2170,1140,1145,2310,Japan,WPR
NA,NA,NA,NA,NA,NA,NA,NA,NA,1365,7125,3235,16485,8940,1420,615,600,9675,6955,1225,470,90,120,11020,80590,545,65,100,0,20,635,275,365,1605,Kazakhstan,EUR
1208964.153,1063879.863,1126898.173,785276.3912,447092.1916,164599.677,198478.917,274800.701,339704.6574,304134.6235,241222.6571,255010.5062,71692.70513,42402.6421,32957.77314,31455.42894,31477.91698,42517.21234,49520.3009,86272.11173,69329.21012,41240.61658,557.1842821,10482.49051,22089.75534,29072.74007,30322.7046,26109.08849,25363.4564,10090.98487,20476.89295,15999.8706,9720.580974,16335.81057,Kenya,AFR
NA,NA,NA,NA,NA,NA,NA,NA,NA,2920,4120,4075,19125,840,85,370,4990,11985,2390,80,85,10,30,40,265,135,200,80,5,0,1110,0,5,1590,Kyrgyzstan,EUR
561726.2823,624391.7078,155230.2207,432723.8775,474033.5393,192614.5183,110417.4923,71254.84168,99625.11547,54222.55628,41419.79413,42855.58853,32707.686,25089.40967,27865.80997,34804.08628,44797.31989,33388.56722,91501.34456,81524.25101,52437.38272,16818.88221,9135.112484,5344.128741,7403.541711,8265.236446,9808.451446,33815.78103,49318.49053,24343.89851,15875.24841,4730.478242,3998.685794,20.3204822,Cambodia,WPR
404.1974174,307.9775318,259.1620928,3930.080546,5586.125973,272.2173279,338.3115425,755.6019994,4808.125735,176.2885789,194.7369229,6462.27463,314.421702,806.6900676,289.8818084,217.3085632,166.7055713,1007.410408,8.683875896,51.31829452,90.76424408,74.50422865,420.9923684,226.0963274,114.8234058,705.9010323,114.3515724,67.48482175,59.91300083,20.02877654,20.91151232,40.38440494,26.17022233,20.22327091,Kiribati,WPR
260,690,2780,10,135,110,105,60,60,400,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saint Kitts and Nevis,AMR
11535,33880,3475,11230,6415,9090,9400,7895,11970,17075,NA,NA,NA,39415,355,355,10,20,NA,163235,115300,310,165,55,35,140,970,10,85,570,210,10,535,2210,"Korea, South",WPR
